"tipo","nome","creata","modificata"
"SQL_STORED_PROCEDURE","GEO_AssegnaGIRI","2025-02-28","2026-03-17"
"SQL_STORED_PROCEDURE","GEO_AssegnaGiroADriver","2025-06-26","2025-06-26"
"SQL_STORED_PROCEDURE","GEO_CercaIndirizzo","2024-09-24","2024-09-24"
"SQL_STORED_PROCEDURE","GEO_CreaGIRI","2025-02-03","2026-03-05"
"SQL_STORED_PROCEDURE","GEO_CreaGiro","2025-02-28","2025-03-13"
"SQL_STORED_PROCEDURE","GEO_CreaRouting_Here","2025-05-14","2026-02-27"
"SQL_STORED_PROCEDURE","GEO_CreaRouting_RouteXL","2025-02-04","2025-02-06"
"SQL_STORED_PROCEDURE","GEO_ElencoAttivita","2025-06-27","2025-07-02"
"SQL_STORED_PROCEDURE","Geo_GetVertici","2025-02-27","2025-03-11"
"SQL_STORED_PROCEDURE","GEO_HereWaypoint_Elenco","2026-02-25","2026-02-27"
"SQL_STORED_PROCEDURE","GEO_HereWaypoint_Request","2025-05-13","2026-02-24"
"SQL_STORED_PROCEDURE","GEO_HereWaypoint_Response","2025-05-14","2026-02-25"
"SQL_STORED_PROCEDURE","GEO_MemorizzaIndirizzo","2024-09-24","2024-09-25"
"SQL_STORED_PROCEDURE","GEO_Norm","2023-02-24","2023-02-24"
"SQL_STORED_PROCEDURE","GEO_Normalizza_Sped","2025-01-31","2026-02-23"
"SQL_STORED_PROCEDURE","GEO_Normalizza_Sped_tmpADE","2025-07-09","2026-02-18"
"SQL_STORED_PROCEDURE","GEO_Normalizza_Sped_tmpADE_osm","2025-07-10","2025-07-10"
"SQL_STORED_PROCEDURE","GEO_Normalizza_Sped1","2025-01-23","2025-01-30"
"SQL_STORED_PROCEDURE","GEO_Normalizza_Sped2","2025-01-30","2025-02-04"
"SQL_STORED_PROCEDURE","GEO_NormalizzaImport","2024-09-24","2024-09-24"
"SQL_STORED_PROCEDURE","GEO_NormalizzaIndirizzo","2024-08-27","2024-09-24"
